//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 65310000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
65310000;2;01/02/1932;;1;1;699,4;400,8;566,0138;8;1;1;1;1;;0;404,2;444;557,6;589;618,2;643,8;661,8;699,4;695,6;680,4;676,6;672,8;654,6;625,6;603,4;585,5;571,5;561;578,5;568;564,5;516,8;503,2;483,1;463,3;453,6;456,8;444;437,6;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;;
65310000;2;01/03/1932;;1;1;800;302,2;508,2839;30;22;1;1;1;;0;489,7;589;603,4;621,9;625,6;610,8;629,3;599,7;578,5;554,2;537,2;506,6;473,2;453,6;431,2;404,2;424,6;355,8;336,6;317,7;305,3;302,2;320,8;349,4;411;447,2;530,4;614,5;741,2;800;792;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/04/1932;;1;1;1833,2;434,4;961,68;22;11;1;1;1;;0;784;752,8;695,6;633;618,2;582;527;493;486,4;460;434,4;460;486,4;513,4;621,9;607,1;603,4;707;914,4;1660;1777;1833,2;1833,2;1755;1650;1520;1453;1369;1325;1295;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65310000;2;01/05/1932;;1;1;1277;352,6;700,229;1;22;1;1;1;;0;1277;1259;1234;1170;1111;1006;964,8;931,2;865;784;737,4;684,2;596;527;483,1;450,4;428;407,6;397,4;387;362,5;352,6;352,6;376,5;684,2;808;737,4;669;603,4;547,4;513,4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/06/1932;;1;1;665,4;434,4;528,88;6;20;1;1;1;;0;499,8;479,8;456,8;444;582;665,4;661,8;661,8;661,8;640,2;610,8;575;575;547,4;499,8;499,8;486,4;463,3;453,6;434,4;453,6;554,2;554,2;506,6;486,4;473,2;460;499,8;496,4;483,1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65310000;2;01/07/1932;;1;1;506,6;189,6;308,6871;4;29;1;1;1;;0;479,8;479,8;496,4;506,6;479,8;453,6;428;407,6;387;362,5;352,6;333,4;317,7;302,2;286,4;276,8;264;251,6;245,4;236,1;226,8;220,6;214,4;208,2;202;195,8;192,7;192,7;189,6;189,6;189,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/08/1932;;1;1;520,2;180,3;304,2065;10;2;1;1;1;;0;186,5;180,3;180,3;195,8;220,6;289,6;352,6;473,2;516,8;520,2;513,4;493;463,3;421,2;380;346,2;314,6;296;276,8;251,6;245,4;239,2;233;226,8;214,4;202;195,8;189,6;233;296;283,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/09/1932;;1;1;;;;;;0;0;0;;0;264;257,8;245,4;239,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
65310000;2;01/10/1932;;1;1;578;208;412;26;3;1;1;1;509;1;258;239;208;221;302;340;376;444;520;534;520;510;493;460;401;376;349;258;252;280;349;401;444;500;561;578;561;544;520;500;470;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/11/1932;;1;1;931,2;168,1;400,67;30;21;1;1;1;;0;444;414,4;380;355,8;327;311,5;308,4;308,4;302,2;308,4;305,3;299,1;289,6;273,6;260,9;254,7;239,2;223,7;211,3;171;168,1;229,9;305,3;417,8;582;748,9;844,5;893,7;914,4;927;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
65310000;2;01/12/1932;;1;1;1230;366;697,3484;6;31;1;1;1;;0;948;981,6;1022;1125;1178;1222;1145;1030;901,9;856,8;784;718,4;669;633;592,5;540,6;513,4;503,2;520,2;530,4;537,2;527;523,6;513,4;516,8;496,4;466,6;444;417,8;390,5;369,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/01/1933;;1;1;355,8;128;206,771;1;30;1;1;1;;0;352,6;336,6;323,9;299,1;276,8;254,7;245,4;226,8;214,4;205,1;198,9;195,8;198,9;195,8;198,9;198,9;202;214,4;205,1;202;192,7;174,1;168,1;165,2;153,6;144,9;139,2;136,4;130,8;128;130,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/02/1933;;1;1;421,2;142;289,7714;25;1;1;1;1;;0;144,9;159,4;165,2;168,1;189,6;195,8;192,7;192,7;208,2;226,8;248,5;273,6;305,3;327;346,2;359;355,8;346,2;330,2;330,2;333,4;355,8;390,5;411;417,8;404,2;376,5;359;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;;
65310000;2;01/03/1933;;1;1;346,2;114;211,5452;1;30;1;1;1;;0;346,2;336,6;323,9;327;314,6;308,4;299,1;280;270,4;264;257,8;242,3;217,5;202;195,8;189,6;180,3;183,4;177,2;171;162,3;153,6;144,9;142;136,4;133,6;128;119,6;116,8;114;119,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
65310000;2;01/04/1933;;1;1;171;101,15;126,915;17;30;1;1;1;;0;142;153,6;159,4;156,5;153,6;142;136,4;125,2;125,2;116,8;111,43;103,72;103,72;108,86;111,43;142;171;165,2;125,2;122,4;119,6;119,6;122,4;119,6;114;111,43;111,43;108,86;103,72;101,15;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
